row,col,pin
1,1,14
1,2,10
1,3,12
1,4,15
1,5,11
1,6,15
1,7,16
1,8,19
1,9,18
1,10,17
1,11,11
1,12,10
1,13,12
1,14,13
1,15,14
2,1,16
2,2,20
2,3,20
2,4,19
2,5,18
2,6,17
2,7,16
2,8,15
2,9,14
2,10,13
2,11,12
2,12,11
2,13,10
2,14,18
3,1,17
3,2,20
3,3,19
3,4,18
3,5,17
3,6,16
3,7,15
3,8,14
3,9,13
3,10,12
3,11,10
3,12,11
3,13,17
3,14,14
4,1,18
4,2,20
4,3,19
4,4,18
4,5,17
4,6,16
4,7,15
4,8,14
4,9,13
4,10,12
4,11,10
4,12,11
4,13,12
4,14,13
5,1,19
5,2,20
5,3,19
5,4,18
5,5,17
5,6,16
5,7,15
5,8,14
5,9,13
5,10,12
5,11,10
5,12,11
5,13,11
5,14,10
6,1,20
6,2,20
6,3,20
6,4,18
6,5,17
6,6,16
6,7,15
6,8,13
6,9,14
6,10,13
6,11,12
